"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
,,,,inner city - Øster Farimagsgade-kvarteret,574,292,282
,,,,inner city - Østerport,412,235,177
,,,,inner city - Frederiksstaden,1028,537,491
,,,,inner city - Gammelholm og Nyhavn,357,192,165
,,,,Christianshavn - Neden Vandet,328,191,137
,,,,Christianshavn - Oven Vandet,710,407,303
,,,,Christianshavn - Holmen og Refshaleøen,290,164,126
,,,,Østerbro - Nord/Komponistkvarteret,350,198,152
,,,,Østerbro - Svanemøllen Syd/Øst,1428,778,650
,,,,Østerbro - yearshusgade Nord,1043,601,442
,,,,Østerbro - yearshusgade Syd,1295,720,575
,,,,Østerbro - Rosenvænget,939,518,421
,,,,Østerbro - Ny Ryvang,529,281,248
,,,,Østerbro - Nord,496,239,257
,,,,Østerbro - Nordhavn,574,306,268
,,,,Østerbro - Lyngbyvej Vest,654,360,294
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,936,506,430
,,,,Østerbro - Fælled,817,434,383
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,1535,867,668
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,1850,1070,780
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,1961,1122,839
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,1807,1047,760
,,,,Nørrebro - Haraldsgade-kvarteret,1293,710,583
,,,,Vesterbro - Vest,1185,668,517
,,,,Vesterbro - Central,2502,1503,999
,,,,Vesterbro - Øst,744,454,290
,,,,Vesterbro - Syd,573,352,221
,,,,Kgs. Enghave - Bavnehøj,546,326,220
,,,,Kgs. Enghave - Gl. Sydhavn,2352,1317,1035
,,,,Kgs. Enghave - Holmene,1979,1160,819
,,,,Valby - Gl. Valby,1766,1003,763
,,,,Valby - Syd,3133,1748,1385
,,,,Valby - Ålholm,1615,922,693
,,,,Valby - Valby Sydvest,2445,1334,1111
,,,,Valby - Vigerslev,1402,798,604
,,,,Vanløse - Jyllingevej Kvarter,1625,909,716
,,,,Vanløse - Jernbane Allé Kvarter,2405,1347,1058
,,,,Vanløse - Sallingvej Kvarter,1441,868,573
,,,,Vanløse - Grøndals Park Kvarter,782,442,340
,,,,Brønshøj-Husum - Husum,2575,1492,1083
,,,,Brønshøj-Husum - Husum Nord,1581,824,757
,,,,Brønshøj-Husum - Tingbjerg,762,383,379
,,,,Brønshøj-Husum - Brønshøj,1322,736,586
,,,,Brønshøj-Husum - Bellahøj,611,317,294
,,,,Bispebjerg - Emdrup,563,319,244
,,,,Bispebjerg- Ryparken-Lundehus,966,515,451
,,,,Bispebjerg - Bispebjerg,1005,594,411
,,,,Bispebjerg - Utterslev,939,504,435
,,,,Bispebjerg - Nordvest,4420,2598,1822
,,,,Amager Øst - Amagerbro Øst,3712,2076,1636
,,,,Amager Øst - Sundbyøster,2519,1429,1090
,,,,Amager Øst - Villakvartererne,2403,1369,1034
,,,,Amager Øst - Nordøstamager,1193,649,544
,,,,Amager Vest - Amagerbro Vest,972,550,422
,,,,Amager Vest - Bryggen Syd,657,350,307
,,,,Amager Vest - Faste Batteri,464,267,197
,,,,Amager Vest - Gamle Bryggen,1068,640,428
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),308,173,135
,,,,Amager Vest - Kolonihavekvarteret,743,423,320
,,,,Amager Vest - Sundbyvester,2057,1156,901
,,,,Amager Vest - Sundholmsvejs kvarteret,1967,1019,948
,,,,Amager Vest - Urbanplanen,839,417,422
,,,,Amager Vest - Ørestad City,1511,843,668
,,,,Amager Vest - Ørestad Syd,1874,1066,808
,,,Medium-cycle higher education programs and bachelor’s degree programs,København in total,122663,52520,70143
