"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
,,,,district - Amager Øst,764,359,405
,,,,district - Amager Vest,1778,847,931
,,,,local committee - inner city,528,233,295
,,,,local committee - Christianshavn,133,64,69
,,,,local committee - Østerbro,1089,492,597
,,,,local committee - Nørrebro,732,357,375
,,,,local committee - Vesterbro,695,311,384
,,,,local committee - Kgs. Enghave,740,345,395
,,,,local committee - Valby,956,489,467
,,,,local committee - Vanløse,422,207,215
,,,,local committee - Brønshøj-Husum,755,464,291
,,,,local committee - Bispebjerg,723,402,321
,,,,local committee - Amager Øst,764,359,405
,,,,local committee - Amager Vest,1778,847,931
,,,,inner city - Middelalderbyen,118,58,60
,,,,inner city - Metropolzonen,35,..,..
,,,,inner city - Nansensgade-kvarteret,73,36,37
,,,,inner city - Øster Farimagsgade-kvarteret,101,44,57
,,,,inner city - Østerport,66,27,39
,,,,inner city - Frederiksstaden,86,37,49
,,,,inner city - Gammelholm og Nyhavn,49,13,36
,,,,Christianshavn - Neden Vandet,48,22,26
,,,,Christianshavn - Oven Vandet,55,25,30
,,,,Christianshavn - Holmen og Refshaleøen,30,17,13
,,,,Østerbro - Nord/Komponistkvarteret,36,..,..
,,,,Østerbro - Svanemøllen Syd/Øst,131,63,68
,,,,Østerbro - yearshusgade Nord,76,34,42
,,,,Østerbro - yearshusgade Syd,101,57,44
,,,,Østerbro - Rosenvænget,115,50,65
,,,,Østerbro - Ny Ryvang,..,..,..
,,,,Østerbro - Nord,83,31,52
,,,,Østerbro - Nordhavn,258,105,153
,,,,Østerbro - Lyngbyvej Vest,60,..,..
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,109,49,60
,,,,Østerbro - Fælled,80,37,43
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,164,86,78
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,156,67,89
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,127,66,61
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,161,78,83
,,,,Nørrebro - Haraldsgade-kvarteret,124,60,64
,,,,Vesterbro - Vest,236,88,148
,,,,Vesterbro - Central,172,81,91
,,,,Vesterbro - Øst,113,58,55
,,,,Vesterbro - Syd,174,84,90
,,,,Kgs. Enghave - Bavnehøj,..,20,..
,,,,Kgs. Enghave - Gl. Sydhavn,138,50,88
,,,,Kgs. Enghave - Holmene,569,275,294
,,,,Valby - Gl. Valby,124,63,61
,,,,Valby - Syd,390,182,208
,,,,Valby - Ålholm,88,48,40
,,,,Valby - Valby Sydvest,261,139,122
,,,,Valby - Vigerslev,93,..,..
,,,,Vanløse - Jyllingevej Kvarter,122,54,68
,,,,Vanløse - Jernbane Allé Kvarter,153,80,73
,,,,Vanløse - Sallingvej Kvarter,115,54,61
,,,,Vanløse - Grøndals Park Kvarter,32,19,13
,,,,Brønshøj-Husum - Husum,236,132,104
,,,,Brønshøj-Husum - Husum Nord,231,152,79
,,,,Brønshøj-Husum - Tingbjerg,161,117,44
,,,,Brønshøj-Husum - Brønshøj,69,37,32
,,,,Brønshøj-Husum - Bellahøj,..,26,..
,,,,Bispebjerg - Emdrup,46,27,19
,,,,Bispebjerg- Ryparken-Lundehus,130,60,70
,,,,Bispebjerg - Bispebjerg,81,46,35
,,,,Bispebjerg - Utterslev,73,..,..
,,,,Bispebjerg - Nordvest,393,220,173
,,,,Amager Øst - Amagerbro Øst,210,115,95
,,,,Amager Øst - Sundbyøster,118,56,62
,,,,Amager Øst - Villakvartererne,135,60,75
,,,,Amager Øst - Nordøstamager,301,128,173
,,,,Amager Vest - Amagerbro Vest,50,..,..
,,,,Amager Vest - Bryggen Syd,119,48,71
,,,,Amager Vest - Faste Batteri,89,35,54
,,,,Amager Vest - Gamle Bryggen,75,36,39
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),74,..,..
,,,,Amager Vest - Kolonihavekvarteret,77,37,40
,,,,Amager Vest - Sundbyvester,107,59,48
,,,,Amager Vest - Sundholmsvejs kvarteret,130,69,61
,,,,Amager Vest - Urbanplanen,..,..,..
,,,,Amager Vest - Ørestad City,512,261,251
,,,,Amager Vest - Ørestad Syd,498,234,264
,55-69 years,Ethnicity in total,"Primary and lower secondary school, and unspecified etc.",København in total,17657,9607,8050
,,,,district - inner city,1033,552,481
,,,,district - Østerbro,1708,938,770
,,,,district - Nørrebro,2117,1122,995
,,,,district - Vesterbro/Kongens Enghave,1988,1148,840
,,,,district - Valby,1893,996,897
,,,,district - Vanløse,990,551,439
,,,,district - Brønshøj-Husum,1752,914,838
,,,,district - Bispebjerg,1953,1096,857
,,,,district - Amager Øst,1754,934,820
,,,,district - Amager Vest,2318,1229,1089
,,,,local committee - inner city,691,367,324
,,,,local committee - Christianshavn,342,185,157
,,,,local committee - Østerbro,1708,938,770
,,,,local committee - Nørrebro,2117,1122,995
,,,,local committee - Vesterbro,905,516,389
,,,,local committee - Kgs. Enghave,1083,632,451
,,,,local committee - Valby,1893,996,897
,,,,local committee - Vanløse,990,551,439
,,,,local committee - Brønshøj-Husum,1752,914,838
,,,,local committee - Bispebjerg,1953,1096,857
,,,,local committee - Amager Øst,1754,934,820
,,,,local committee - Amager Vest,2318,1229,1089
,,,,inner city - Middelalderbyen,126,68,58
,,,,inner city - Metropolzonen,47,22,25
,,,,inner city - Nansensgade-kvarteret,108,67,41
,,,,inner city - Øster Farimagsgade-kvarteret,93,48,45
,,,,inner city - Østerport,80,35,45
,,,,inner city - Frederiksstaden,176,97,79
,,,,inner city - Gammelholm og Nyhavn,61,30,31
,,,,Christianshavn - Neden Vandet,91,40,51
,,,,Christianshavn - Oven Vandet,230,134,96
,,,,Christianshavn - Holmen og Refshaleøen,21,11,10
,,,,Østerbro - Nord/Komponistkvarteret,46,21,25
,,,,Østerbro - Svanemøllen Syd/Øst,318,182,136
,,,,Østerbro - yearshusgade Nord,166,97,69
,,,,Østerbro - yearshusgade Syd,216,123,93
,,,,Østerbro - Rosenvænget,145,89,56
,,,,Østerbro - Ny Ryvang,155,81,74
,,,,Østerbro - Nord,82,43,39
,,,,Østerbro - Nordhavn,88,41,47
,,,,Østerbro - Lyngbyvej Vest,178,88,90
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,137,76,61
,,,,Østerbro - Fælled,177,97,80
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,414,192,222
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,475,270,205
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,412,241,171
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,483,256,227
,,,,Nørrebro - Haraldsgade-kvarteret,333,163,170
,,,,Vesterbro - Vest,232,121,111
,,,,Vesterbro - Central,504,295,209
,,,,Vesterbro - Øst,122,74,48
,,,,Vesterbro - Syd,47,26,21
,,,,Kgs. Enghave - Bavnehøj,209,125,84
,,,,Kgs. Enghave - Gl. Sydhavn,701,405,296
,,,,Kgs. Enghave - Holmene,173,102,71
,,,,Valby - Gl. Valby,286,156,130
,,,,Valby - Syd,580,315,265
,,,,Valby - Ålholm,320,168,152
,,,,Valby - Valby Sydvest,396,204,192
,,,,Valby - Vigerslev,311,153,158
,,,,Vanløse - Jyllingevej Kvarter,253,145,108
,,,,Vanløse - Jernbane Allé Kvarter,381,207,174
,,,,Vanløse - Sallingvej Kvarter,226,132,94
,,,,Vanløse - Grøndals Park Kvarter,130,67,63
,,,,Brønshøj-Husum - Husum,599,320,279
,,,,Brønshøj-Husum - Husum Nord,473,248,225
,,,,Brønshøj-Husum - Tingbjerg,265,112,153
,,,,Brønshøj-Husum - Brønshøj,197,113,84
,,,,Brønshøj-Husum - Bellahøj,218,121,97
,,,,Bispebjerg - Emdrup,154,85,69
,,,,Bispebjerg- Ryparken-Lundehus,234,120,114
,,,,Bispebjerg - Bispebjerg,230,129,101
,,,,Bispebjerg - Utterslev,249,129,120
,,,,Bispebjerg - Nordvest,1086,633,453
,,,,Amager Øst - Amagerbro Øst,765,404,361
,,,,Amager Øst - Sundbyøster,483,260,223
,,,,Amager Øst - Villakvartererne,387,207,180
,,,,Amager Øst - Nordøstamager,119,63,56
,,,,Amager Vest - Amagerbro Vest,164,89,75
,,,,Amager Vest - Bryggen Syd,73,37,36
,,,,Amager Vest - Faste Batteri,55,26,29
,,,,Amager Vest - Gamle Bryggen,151,85,66
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),39,21,18
,,,,Amager Vest - Kolonihavekvarteret,192,103,89
,,,,Amager Vest - Sundbyvester,475,246,229
,,,,Amager Vest - Sundholmsvejs kvarteret,582,309,273
,,,,Amager Vest - Urbanplanen,348,173,175
,,,,Amager Vest - Ørestad City,108,60,48
,,,,Amager Vest - Ørestad Syd,131,80,51
,,,Upper secondary education programs and qualifying preparatory education courses,København in total,7216,4098,3118
,,,,district - inner city,928,521,407
,,,,district - Østerbro,1092,596,496
,,,,district - Nørrebro,834,466,368
,,,,district - Vesterbro/Kongens Enghave,803,460,343
,,,,district - Valby,583,323,260
,,,,district - Vanløse,442,243,199
,,,,district - Brønshøj-Husum,537,326,211
,,,,district - Bispebjerg,559,348,211
,,,,district - Amager Øst,605,337,268
,,,,district - Amager Vest,795,450,345
,,,,local committee - inner city,714,397,317
,,,,local committee - Christianshavn,214,124,90
,,,,local committee - Østerbro,1092,596,496
,,,,local committee - Nørrebro,834,466,368
,,,,local committee - Vesterbro,517,308,209
,,,,local committee - Kgs. Enghave,286,152,134
,,,,local committee - Valby,583,323,260
,,,,local committee - Vanløse,442,243,199
,,,,local committee - Brønshøj-Husum,537,326,211
,,,,local committee - Bispebjerg,559,348,211
,,,,local committee - Amager Øst,605,337,268
,,,,local committee - Amager Vest,795,450,345
,,,,inner city - Middelalderbyen,136,71,65
,,,,inner city - Metropolzonen,38,29,9
,,,,inner city - Nansensgade-kvarteret,96,44,52
,,,,inner city - Øster Farimagsgade-kvarteret,116,63,53
,,,,inner city - Østerport,99,48,51
,,,,inner city - Frederiksstaden,151,96,55
,,,,inner city - Gammelholm og Nyhavn,78,46,32
,,,,Christianshavn - Neden Vandet,55,35,20
,,,,Christianshavn - Oven Vandet,119,63,56
,,,,Christianshavn - Holmen og Refshaleøen,40,26,14
,,,,Østerbro - Nord/Komponistkvarteret,35,19,16
,,,,Østerbro - Svanemøllen Syd/Øst,122,64,58
,,,,Østerbro - yearshusgade Nord,113,66,47
,,,,Østerbro - yearshusgade Syd,189,101,88
,,,,Østerbro - Rosenvænget,129,72,57
,,,,Østerbro - Ny Ryvang,43,23,20
,,,,Østerbro - Nord,86,46,40
,,,,Østerbro - Nordhavn,99,53,46
,,,,Østerbro - Lyngbyvej Vest,55,35,20
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,91,50,41
,,,,Østerbro - Fælled,130,67,63
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,187,97,90
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,216,127,89
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,166,95,71
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,154,85,69
,,,,Nørrebro - Haraldsgade-kvarteret,111,62,49
,,,,Vesterbro - Vest,105,58,47
,,,,Vesterbro - Central,265,159,106
,,,,Vesterbro - Øst,103,65,38
,,,,Vesterbro - Syd,44,26,18
,,,,Kgs. Enghave - Bavnehøj,34,24,10
,,,,Kgs. Enghave - Gl. Sydhavn,145,79,66
,,,,Kgs. Enghave - Holmene,107,49,58
,,,,Valby - Gl. Valby,130,71,59
,,,,Valby - Syd,199,113,86
,,,,Valby - Ålholm,91,50,41
,,,,Valby - Valby Sydvest,98,58,40
,,,,Valby - Vigerslev,65,31,34
,,,,Vanløse - Jyllingevej Kvarter,117,65,52
,,,,Vanløse - Jernbane Allé Kvarter,155,86,69
,,,,Vanløse - Sallingvej Kvarter,117,62,55
,,,,Vanløse - Grøndals Park Kvarter,53,30,23
,,,,Brønshøj-Husum - Husum,188,117,71
,,,,Brønshøj-Husum - Husum Nord,117,69,48
,,,,Brønshøj-Husum - Tingbjerg,56,35,21
,,,,Brønshøj-Husum - Brønshøj,123,76,47
,,,,Brønshøj-Husum - Bellahøj,53,29,24
,,,,Bispebjerg - Emdrup,49,38,11
,,,,Bispebjerg- Ryparken-Lundehus,97,61,36
,,,,Bispebjerg - Bispebjerg,74,44,30
,,,,Bispebjerg - Utterslev,67,38,29
,,,,Bispebjerg - Nordvest,272,167,105
,,,,Amager Øst - Amagerbro Øst,202,109,93
,,,,Amager Øst - Sundbyøster,137,80,57
,,,,Amager Øst - Villakvartererne,176,101,75
,,,,Amager Øst - Nordøstamager,90,47,43
,,,,Amager Vest - Amagerbro Vest,68,41,27
,,,,Amager Vest - Bryggen Syd,62,38,24
,,,,Amager Vest - Faste Batteri,53,32,21
,,,,Amager Vest - Gamle Bryggen,89,48,41
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),29,18,11
,,,,Amager Vest - Kolonihavekvarteret,43,26,17
,,,,Amager Vest - Sundbyvester,145,86,59
,,,,Amager Vest - Sundholmsvejs kvarteret,121,50,71
,,,,Amager Vest - Urbanplanen,63,32,31
,,,,Amager Vest - Ørestad City,54,31,23
,,,,Amager Vest - Ørestad Syd,68,48,20
,,,Vocational education and training programs and short-cycle higher education programs,København in total,25844,13920,11924
,,,,district - inner city,1861,997,864
,,,,district - Østerbro,3176,1606,1570
,,,,district - Nørrebro,2308,1287,1021
,,,,district - Vesterbro/Kongens Enghave,2639,1490,1149
,,,,district - Valby,2668,1383,1285
,,,,district - Vanløse,2056,1063,993
,,,,district - Brønshøj-Husum,2204,1216,988
,,,,district - Bispebjerg,2290,1331,959
,,,,district - Amager Øst,2980,1582,1398
,,,,district - Amager Vest,3536,1860,1676
,,,,local committee - inner city,1343,719,624
,,,,local committee - Christianshavn,518,278,240
,,,,local committee - Østerbro,3176,1606,1570
,,,,local committee - Nørrebro,2308,1287,1021
,,,,local committee - Vesterbro,1376,799,577
,,,,local committee - Kgs. Enghave,1263,691,572
,,,,local committee - Valby,2668,1383,1285
,,,,local committee - Vanløse,2056,1063,993
,,,,local committee - Brønshøj-Husum,2204,1216,988
,,,,local committee - Bispebjerg,2290,1331,959
,,,,local committee - Amager Øst,2980,1582,1398
,,,,local committee - Amager Vest,3536,1860,1676
,,,,inner city - Middelalderbyen,231,136,95
,,,,inner city - Metropolzonen,88,51,37
,,,,inner city - Nansensgade-kvarteret,195,119,76
,,,,inner city - Øster Farimagsgade-kvarteret,194,97,97
,,,,inner city - Østerport,178,89,89
,,,,inner city - Frederiksstaden,320,162,158
,,,,inner city - Gammelholm og Nyhavn,137,65,72
,,,,Christianshavn - Neden Vandet,143,76,67
,,,,Christianshavn - Oven Vandet,274,146,128
,,,,Christianshavn - Holmen og Refshaleøen,101,56,45
,,,,Østerbro - Nord/Komponistkvarteret,108,63,45
,,,,Østerbro - Svanemøllen Syd/Øst,487,231,256
,,,,Østerbro - yearshusgade Nord,315,170,145
,,,,Østerbro - yearshusgade Syd,432,227,205
,,,,Østerbro - Rosenvænget,332,170,162
,,,,Østerbro - Ny Ryvang,176,103,73
,,,,Østerbro - Nord,199,84,115
,,,,Østerbro - Nordhavn,232,110,122
,,,,Østerbro - Lyngbyvej Vest,243,123,120
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,312,159,153
,,,,Østerbro - Fælled,340,166,174
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,478,268,210
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,543,305,238
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,500,275,225
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,439,251,188
,,,,Nørrebro - Haraldsgade-kvarteret,348,188,160
,,,,Vesterbro - Vest,306,167,139
,,,,Vesterbro - Central,684,416,268
,,,,Vesterbro - Øst,206,119,87
,,,,Vesterbro - Syd,180,97,83
,,,,Kgs. Enghave - Bavnehøj,135,86,49
,,,,Kgs. Enghave - Gl. Sydhavn,683,365,318
,,,,Kgs. Enghave - Holmene,445,240,205
,,,,Valby - Gl. Valby,532,273,259
,,,,Valby - Syd,778,392,386
,,,,Valby - Ålholm,457,237,220
,,,,Valby - Valby Sydvest,519,272,247
,,,,Valby - Vigerslev,382,209,173
,,,,Vanløse - Jyllingevej Kvarter,608,318,290
,,,,Vanløse - Jernbane Allé Kvarter,699,340,359
,,,,Vanløse - Sallingvej Kvarter,471,255,216
,,,,Vanløse - Grøndals Park Kvarter,278,150,128
,,,,Brønshøj-Husum - Husum,892,508,384
,,,,Brønshøj-Husum - Husum Nord,437,243,194
,,,,Brønshøj-Husum - Tingbjerg,199,113,86
,,,,Brønshøj-Husum - Brønshøj,470,243,227
,,,,Brønshøj-Husum - Bellahøj,206,109,97
,,,,Bispebjerg - Emdrup,200,106,94
,,,,Bispebjerg- Ryparken-Lundehus,343,186,157
,,,,Bispebjerg - Bispebjerg,343,212,131
,,,,Bispebjerg - Utterslev,279,152,127
,,,,Bispebjerg - Nordvest,1125,675,450
,,,,Amager Øst - Amagerbro Øst,1071,564,507
,,,,Amager Øst - Sundbyøster,781,409,372
,,,,Amager Øst - Villakvartererne,782,432,350
,,,,Amager Øst - Nordøstamager,346,177,169
,,,,Amager Vest - Amagerbro Vest,336,177,159
,,,,Amager Vest - Bryggen Syd,240,118,122
,,,,Amager Vest - Faste Batteri,145,78,67
,,,,Amager Vest - Gamle Bryggen,338,186,152
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),75,40,35
,,,,Amager Vest - Kolonihavekvarteret,239,133,106
,,,,Amager Vest - Sundbyvester,736,398,338
,,,,Amager Vest - Sundholmsvejs kvarteret,606,302,304
,,,,Amager Vest - Urbanplanen,322,179,143
,,,,Amager Vest - Ørestad City,214,107,107
,,,,Amager Vest - Ørestad Syd,285,142,143
,,,Medium-cycle higher education programs and bachelor’s degree programs,København in total,17727,6818,10909
,,,,district - inner city,2145,827,1318
,,,,district - Østerbro,2982,1050,1932
,,,,district - Nørrebro,1790,689,1101
,,,,district - Vesterbro/Kongens Enghave,2088,884,1204
,,,,district - Valby,1436,558,878
,,,,district - Vanløse,1476,513,963
,,,,district - Brønshøj-Husum,1260,486,774
,,,,district - Bispebjerg,1115,452,663
,,,,district - Amager Øst,1440,543,897
,,,,district - Amager Vest,1949,784,1165
,,,,local committee - inner city,1556,601,955
,,,,local committee - Christianshavn,589,226,363
,,,,local committee - Østerbro,2982,1050,1932
,,,,local committee - Nørrebro,1790,689,1101
,,,,local committee - Vesterbro,1376,591,785
,,,,local committee - Kgs. Enghave,712,293,419
,,,,local committee - Valby,1436,558,878
,,,,local committee - Vanløse,1476,513,963
,,,,local committee - Brønshøj-Husum,1260,486,774
,,,,local committee - Bispebjerg,1115,452,663
,,,,local committee - Amager Øst,1440,543,897
,,,,local committee - Amager Vest,1949,784,1165
,,,,inner city - Middelalderbyen,232,90,142
,,,,inner city - Metropolzonen,81,39,42
,,,,inner city - Nansensgade-kvarteret,244,92,152
,,,,inner city - Øster Farimagsgade-kvarteret,268,96,172
,,,,inner city - Østerport,206,94,112
,,,,inner city - Frederiksstaden,374,126,248
,,,,inner city - Gammelholm og Nyhavn,151,64,87
,,,,Christianshavn - Neden Vandet,158,71,87
,,,,Christianshavn - Oven Vandet,299,100,199
,,,,Christianshavn - Holmen og Refshaleøen,132,55,77
,,,,Østerbro - Nord/Komponistkvarteret,136,53,83
,,,,Østerbro - Svanemøllen Syd/Øst,342,108,234
,,,,Østerbro - yearshusgade Nord,280,102,178
,,,,Østerbro - yearshusgade Syd,493,187,306
,,,,Østerbro - Rosenvænget,437,151,286
,,,,Østerbro - Ny Ryvang,69,26,43
,,,,Østerbro - Nord,207,79,128
,,,,Østerbro - Nordhavn,207,88,119
,,,,Østerbro - Lyngbyvej Vest,163,58,105
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,228,77,151
,,,,Østerbro - Fælled,420,121,299
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,447,176,271
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,521,189,332
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,364,143,221
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,281,115,166
,,,,Nørrebro - Haraldsgade-kvarteret,177,66,111
,,,,Vesterbro - Vest,305,127,178
,,,,Vesterbro - Central,672,274,398
,,,,Vesterbro - Øst,249,114,135
,,,,Vesterbro - Syd,150,76,74
,,,,Kgs. Enghave - Bavnehøj,49,22,27
,,,,Kgs. Enghave - Gl. Sydhavn,327,113,214
,,,,Kgs. Enghave - Holmene,336,158,178
,,,,Valby - Gl. Valby,333,122,211
,,,,Valby - Syd,422,170,252
,,,,Valby - Ålholm,291,119,172
,,,,Valby - Valby Sydvest,242,95,147
,,,,Valby - Vigerslev,148,52,96
,,,,Vanløse - Jyllingevej Kvarter,489,188,301
,,,,Vanløse - Jernbane Allé Kvarter,504,156,348
,,,,Vanløse - Sallingvej Kvarter,314,114,200
,,,,Vanløse - Grøndals Park Kvarter,169,55,114
,,,,Brønshøj-Husum - Husum,521,197,324
,,,,Brønshøj-Husum - Husum Nord,196,79,117
,,,,Brønshøj-Husum - Tingbjerg,54,27,27
,,,,Brønshøj-Husum - Brønshøj,413,149,264
,,,,Brønshøj-Husum - Bellahøj,76,34,42
,,,,Bispebjerg - Emdrup,124,50,74
,,,,Bispebjerg- Ryparken-Lundehus,203,74,129
,,,,Bispebjerg - Bispebjerg,199,85,114
,,,,Bispebjerg - Utterslev,120,47,73
,,,,Bispebjerg - Nordvest,469,196,273
,,,,Amager Øst - Amagerbro Øst,463,173,290
,,,,Amager Øst - Sundbyøster,319,108,211
,,,,Amager Øst - Villakvartererne,433,165,268
,,,,Amager Øst - Nordøstamager,225,97,128
,,,,Amager Vest - Amagerbro Vest,201,78,123
,,,,Amager Vest - Bryggen Syd,178,82,96
,,,,Amager Vest - Faste Batteri,123,47,76
,,,,Amager Vest - Gamle Bryggen,271,107,164
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),68,27,41
,,,,Amager Vest - Kolonihavekvarteret,107,43,64
,,,,Amager Vest - Sundbyvester,368,145,223
,,,,Amager Vest - Sundholmsvejs kvarteret,239,87,152
,,,,Amager Vest - Urbanplanen,96,38,58
,,,,Amager Vest - Ørestad City,129,59,70
,,,,Amager Vest - Ørestad Syd,169,71,98
,,,Long-cycle higher education programs and PhD and research degree programs,København in total,16665,8704,7961
,,,,district - inner city,2955,1505,1450
,,,,district - Østerbro,3324,1739,1585
,,,,district - Nørrebro,1518,764,754
,,,,district - Vesterbro/Kongens Enghave,1909,1037,872
,,,,district - Valby,1148,557,591
,,,,district - Vanløse,1120,604,516
,,,,district - Brønshøj-Husum,1010,535,475
,,,,district - Bispebjerg,797,421,376
,,,,district - Amager Øst,1116,567,549
,,,,district - Amager Vest,1676,912,764
,,,,local committee - inner city,2251,1197,1054
,,,,local committee - Christianshavn,704,308,396
,,,,local committee - Østerbro,3324,1739,1585
,,,,local committee - Nørrebro,1518,764,754
,,,,local committee - Vesterbro,1367,738,629
,,,,local committee - Kgs. Enghave,542,299,243
,,,,local committee - Valby,1148,557,591
,,,,local committee - Vanløse,1120,604,516
,,,,local committee - Brønshøj-Husum,1010,535,475
,,,,local committee - Bispebjerg,797,421,376
,,,,local committee - Amager Øst,1116,567,549
,,,,local committee - Amager Vest,1676,912,764
,,,,inner city - Middelalderbyen,337,191,146
,,,,inner city - Metropolzonen,150,77,73
,,,,inner city - Nansensgade-kvarteret,326,164,162
,,,,inner city - Øster Farimagsgade-kvarteret,493,262,231
,,,,inner city - Østerport,263,142,121
,,,,inner city - Frederiksstaden,486,255,231
,,,,inner city - Gammelholm og Nyhavn,196,106,90
,,,,Christianshavn - Neden Vandet,197,101,96
,,,,Christianshavn - Oven Vandet,309,122,187
,,,,Christianshavn - Holmen og Refshaleøen,198,85,113
,,,,Østerbro - Nord/Komponistkvarteret,174,91,83
,,,,Østerbro - Svanemøllen Syd/Øst,287,160,127
,,,,Østerbro - yearshusgade Nord,324,169,155
,,,,Østerbro - yearshusgade Syd,562,281,281
,,,,Østerbro - Rosenvænget,566,288,278
,,,,Østerbro - Ny Ryvang,43,21,22
,,,,Østerbro - Nord,303,159,144
,,,,Østerbro - Nordhavn,337,196,141
,,,,Østerbro - Lyngbyvej Vest,101,50,51
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,208,112,96
,,,,Østerbro - Fælled,419,212,207
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,388,205,183
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,539,253,286
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,277,136,141
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,197,110,87
,,,,Nørrebro - Haraldsgade-kvarteret,117,60,57
,,,,Vesterbro - Vest,367,184,183
,,,,Vesterbro - Central,575,310,265
,,,,Vesterbro - Øst,231,123,108
,,,,Vesterbro - Syd,194,121,73
,,,,Kgs. Enghave - Bavnehøj,35,18,17
,,,,Kgs. Enghave - Gl. Sydhavn,180,84,96
,,,,Kgs. Enghave - Holmene,327,197,130
,,,,Valby - Gl. Valby,284,138,146
,,,,Valby - Syd,376,166,210
,,,,Valby - Ålholm,255,132,123
,,,,Valby - Valby Sydvest,152,79,73
,,,,Valby - Vigerslev,81,42,39
,,,,Vanløse - Jyllingevej Kvarter,423,224,199
,,,,Vanløse - Jernbane Allé Kvarter,313,168,145
,,,,Vanløse - Sallingvej Kvarter,240,131,109
,,,,Vanløse - Grøndals Park Kvarter,144,81,63
,,,,Brønshøj-Husum - Husum,425,222,203
,,,,Brønshøj-Husum - Husum Nord,93,52,41
,,,,Brønshøj-Husum - Tingbjerg,33,22,11
,,,,Brønshøj-Husum - Brønshøj,408,209,199
,,,,Brønshøj-Husum - Bellahøj,51,30,21
,,,,Bispebjerg - Emdrup,163,85,78
,,,,Bispebjerg- Ryparken-Lundehus,128,70,58
,,,,Bispebjerg - Bispebjerg,149,78,71
,,,,Bispebjerg - Utterslev,90,46,44
,,,,Bispebjerg - Nordvest,267,142,125
,,,,Amager Øst - Amagerbro Øst,349,172,177
,,,,Amager Øst - Sundbyøster,223,114,109
,,,,Amager Øst - Villakvartererne,299,154,145
,,,,Amager Øst - Nordøstamager,245,127,118
,,,,Amager Vest - Amagerbro Vest,173,91,82
,,,,Amager Vest - Bryggen Syd,241,143,98
,,,,Amager Vest - Faste Batteri,151,75,76
,,,,Amager Vest - Gamle Bryggen,231,118,113
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),67,37,30
,,,,Amager Vest - Kolonihavekvarteret,80,43,37
,,,,Amager Vest - Sundbyvester,302,150,152
,,,,Amager Vest - Sundholmsvejs kvarteret,136,80,56
,,,,Amager Vest - Urbanplanen,38,20,18
,,,,Amager Vest - Ørestad City,118,77,41
,,,,Amager Vest - Ørestad Syd,139,78,61
,,danish ethnicity,"Primary and lower secondary school, and unspecified etc.",København in total,11214,6340,4874
,,,,district - inner city,807,435,372
,,,,district - Østerbro,1226,679,547
,,,,district - Nørrebro,1024,596,428
,,,,district - Vesterbro/Kongens Enghave,1334,813,521
,,,,district - Valby,1195,657,538
,,,,district - Vanløse,697,392,305
,,,,district - Brønshøj-Husum,888,487,401
,,,,district - Bispebjerg,1108,644,464
