Personer over 14 år efter tid, enhed, indkomsttype, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;Køn i alt;Mænd;Kvinder
;;;Lokaludvalg - Nørrebro;66278;31169;35109
;;;Lokaludvalg - Vesterbro;39089;19090;19999
;;;Lokaludvalg - Kgs. Enghave;28882;14552;14330
;;;Lokaludvalg - Valby;53550;26495;27055
;;;Lokaludvalg - Vanløse;33799;16514;17285
;;;Lokaludvalg - Brønshøj-Husum;34728;17197;17531
;;;Lokaludvalg - Bispebjerg;46084;22739;23345
;;;Lokaludvalg - Amager Øst;52146;25302;26844
;;;Lokaludvalg - Amager Vest;71629;35415;36214
;;;Lokaludvalg - Uden for inddeling;2433;1742;691
;;;Indre By - Middelalderbyen;7274;3623;3651
;;;Indre By - Metropolzonen;2367;1170;1197
;;;Indre By - Nansensgade-kvarteret;5606;2703;2903
;;;Indre By - Øster Farimagsgade-kvarteret;5999;2810;3189
;;;Indre By - Østerport;3729;1768;1961
;;;Indre By - Frederiksstaden;8502;4133;4369
;;;Indre By - Gammelholm og Nyhavn;2773;1331;1442
;;;Christianshavn - Neden Vandet;2695;1316;1379
;;;Christianshavn - Oven Vandet;5759;2713;3046
;;;Christianshavn - Holmen og Refshaleøen;2725;1323;1402
;;;Østerbro - Nord/Komponistkvarteret;2980;1390;1590
;;;Østerbro - Svanemøllen Syd/Øst;9031;4346;4685
;;;Østerbro - Århusgade Nord;8049;3838;4211
;;;Østerbro - Århusgade Syd;9956;4729;5227
;;;Østerbro - Rosenvænget;8285;3926;4359
;;;Østerbro - Ny Ryvang;2634;1290;1344
;;;Østerbro - Nord;4068;1792;2276
;;;Østerbro - Nordhavn;5005;2548;2457
;;;Østerbro - Lyngbyvej Vest;4399;2127;2272
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;6208;2981;3227
;;;Østerbro - Fælled;7150;3242;3908
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;12055;5690;6365
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;16464;7674;8790
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;14775;6932;7843
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;14357;6878;7479
;;;Nørrebro - Haraldsgade-kvarteret;8627;3995;4632
;;;Vesterbro - Vest;9789;4707;5082
;;;Vesterbro - Central;18994;9128;9866
;;;Vesterbro - Øst;6414;3183;3231
;;;Vesterbro - Syd;3892;2072;1820
;;;Kgs. Enghave - Bavnehøj;3520;1750;1770
;;;Kgs. Enghave - Gl. Sydhavn;12020;5845;6175
;;;Kgs. Enghave - Holmene;13342;6957;6385
;;;Valby - Gl. Valby;10394;5023;5371
;;;Valby - Syd;17267;8501;8766
;;;Valby - Ålholm;8084;3986;4098
;;;Valby - Valby Sydvest;11929;5982;5947
;;;Valby - Vigerslev;5876;3003;2873
;;;Vanløse - Jyllingevej Kvarter;9438;4652;4786
;;;Vanløse - Jernbane Allé Kvarter;12040;5832;6208
;;;Vanløse - Sallingvej Kvarter;7993;3922;4071
;;;Vanløse - Grøndals Park Kvarter;4328;2108;2220
;;;Brønshøj-Husum - Husum;12520;6327;6193
;;;Brønshøj-Husum - Husum Nord;6946;3434;3512
;;;Brønshøj-Husum - Tingbjerg;3839;1834;2005
;;;Brønshøj-Husum - Brønshøj;8354;4086;4268
;;;Brønshøj-Husum - Bellahøj;3069;1516;1553
;;;Bispebjerg - Emdrup;3539;1796;1743
;;;Bispebjerg- Ryparken-Lundehus;5371;2586;2785
;;;Bispebjerg - Bispebjerg;5253;2574;2679
;;;Bispebjerg - Utterslev;4869;2349;2520
;;;Bispebjerg - Nordvest;27052;13434;13618
;;;Amager Øst - Amagerbro Øst;20020;9590;10430
;;;Amager Øst - Sundbyøster;12199;5874;6325
;;;Amager Øst - Villakvartererne;12306;6033;6273
;;;Amager Øst - Nordøstamager;7621;3805;3816
;;;Amager Vest - Amagerbro Vest;6018;2825;3193
;;;Amager Vest - Bryggen Syd;4194;2155;2039
;;;Amager Vest - Faste Batteri;4043;2009;2034
;;;Amager Vest - Gamle Bryggen;6380;3066;3314
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);2839;1364;1475
;;;Amager Vest - Kolonihavekvarteret;4727;2381;2346
;;;Amager Vest - Sundbyvester;10481;5118;5363
;;;Amager Vest - Sundholmsvejs kvarteret;9919;4753;5166
;;;Amager Vest - Urbanplanen;3832;1805;2027
;;;Amager Vest - Ørestad City;8728;4563;4165
;;;Amager Vest - Ørestad Syd;10468;5376;5092
;;Taxable income;København i alt;530512;258091;272421
;;;Bydel - Indre By;45410;21869;23541
;;;Bydel - Østerbro;65802;31202;34600
;;;Bydel - Nørrebro;64877;30361;34516
;;;Bydel - Vesterbro/Kongens Enghave;66265;32677;33588
;;;Bydel - Valby;52573;25945;26628
;;;Bydel - Vanløse;33245;16217;17028
;;;Bydel - Brønshøj-Husum;34069;16837;17232
;;;Bydel - Bispebjerg;45237;22252;22985
;;;Bydel - Amager Øst;51021;24686;26335
;;;Bydel - Amager Vest;69863;34505;35358
;;;Bydel - Uden for inddeling;2150;1540;610
;;;Lokaludvalg - Indre By;34613;16714;17899
;;;Lokaludvalg - Christianshavn;10797;5155;5642
;;;Lokaludvalg - Østerbro;65802;31202;34600
;;;Lokaludvalg - Nørrebro;64877;30361;34516
;;;Lokaludvalg - Vesterbro;38061;18503;19558
;;;Lokaludvalg - Kgs. Enghave;28204;14174;14030
;;;Lokaludvalg - Valby;52573;25945;26628
;;;Lokaludvalg - Vanløse;33245;16217;17028
;;;Lokaludvalg - Brønshøj-Husum;34069;16837;17232
;;;Lokaludvalg - Bispebjerg;45237;22252;22985
;;;Lokaludvalg - Amager Øst;51021;24686;26335
;;;Lokaludvalg - Amager Vest;69863;34505;35358
;;;Lokaludvalg - Uden for inddeling;2150;1540;610
;;;Indre By - Middelalderbyen;6879;3432;3447
;;;Indre By - Metropolzonen;2246;1101;1145
;;;Indre By - Nansensgade-kvarteret;5440;2613;2827
;;;Indre By - Øster Farimagsgade-kvarteret;5756;2690;3066
;;;Indre By - Østerport;3528;1681;1847
;;;Indre By - Frederiksstaden;8138;3942;4196
;;;Indre By - Gammelholm og Nyhavn;2626;1255;1371
;;;Christianshavn - Neden Vandet;2555;1245;1310
;;;Christianshavn - Oven Vandet;5612;2632;2980
;;;Christianshavn - Holmen og Refshaleøen;2630;1278;1352
;;;Østerbro - Nord/Komponistkvarteret;2883;1344;1539
;;;Østerbro - Svanemøllen Syd/Øst;8843;4244;4599
;;;Østerbro - Århusgade Nord;7860;3728;4132
;;;Østerbro - Århusgade Syd;9713;4595;5118
;;;Østerbro - Rosenvænget;8038;3804;4234
;;;Østerbro - Ny Ryvang;2583;1262;1321
;;;Østerbro - Nord;3850;1694;2156
;;;Østerbro - Nordhavn;4698;2409;2289
;;;Østerbro - Lyngbyvej Vest;4309;2072;2237
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;6070;2901;3169
;;;Østerbro - Fælled;6955;3149;3806
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;11762;5520;6242
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;16079;7470;8609
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;14513;6775;7738
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;14055;6694;7361
;;;Nørrebro - Haraldsgade-kvarteret;8468;3902;4566
;;;Vesterbro - Vest;9499;4554;4945
;;;Vesterbro - Central;18577;8886;9691
;;;Vesterbro - Øst;6232;3075;3157
;;;Vesterbro - Syd;3753;1988;1765
;;;Kgs. Enghave - Bavnehøj;3471;1721;1750
;;;Kgs. Enghave - Gl. Sydhavn;11812;5724;6088
;;;Kgs. Enghave - Holmene;12921;6729;6192
;;;Valby - Gl. Valby;10179;4906;5273
;;;Valby - Syd;16959;8325;8634
;;;Valby - Ålholm;7955;3920;4035
;;;Valby - Valby Sydvest;11716;5856;5860
;;;Valby - Vigerslev;5764;2938;2826
;;;Vanløse - Jyllingevej Kvarter;9274;4578;4696
;;;Vanløse - Jernbane Allé Kvarter;11835;5715;6120
;;;Vanløse - Sallingvej Kvarter;7868;3848;4020
;;;Vanløse - Grøndals Park Kvarter;4268;2076;2192
;;;Brønshøj-Husum - Husum;12309;6213;6096
;;;Brønshøj-Husum - Husum Nord;6793;3343;3450
;;;Brønshøj-Husum - Tingbjerg;3761;1798;1963
;;;Brønshøj-Husum - Brønshøj;8200;4009;4191
;;;Brønshøj-Husum - Bellahøj;3006;1474;1532
;;;Bispebjerg - Emdrup;3465;1759;1706
;;;Bispebjerg- Ryparken-Lundehus;5259;2529;2730
;;;Bispebjerg - Bispebjerg;5176;2528;2648
;;;Bispebjerg - Utterslev;4786;2307;2479
;;;Bispebjerg - Nordvest;26551;13129;13422
;;;Amager Øst - Amagerbro Øst;19614;9354;10260
;;;Amager Øst - Sundbyøster;11977;5754;6223
;;;Amager Øst - Villakvartererne;12037;5889;6148
;;;Amager Øst - Nordøstamager;7393;3689;3704
;;;Amager Vest - Amagerbro Vest;5914;2774;3140
;;;Amager Vest - Bryggen Syd;4045;2088;1957
;;;Amager Vest - Faste Batteri;3932;1959;1973
;;;Amager Vest - Gamle Bryggen;6229;2983;3246
