"Population projection 2026 by gender, district, age, and time",,,
Unit: quantity,,,
,,34 years,696
,,35 years,718
,,36 years,749
,,37 years,729
,,38 years,662
,,39 years,695
,,40 years,657
,,41 years,645
,,42 years,606
,,43 years,610
,,44 years,563
,,45 years,586
,,46 years,585
,,47 years,570
,,48 years,586
,,49 years,596
,,50 years,594
,,51 years,544
,,52 years,558
,,53 years,548
,,54 years,493
,,55 years,479
,,56 years,479
,,57 years,495
,,58 years,513
,,59 years,518
,,60 years,526
,,61 years,520
,,62 years,510
,,63 years,462
,,64 years,412
,,65 years,393
,,66 years,452
,,67 years,328
,,68 years,353
,,69 years,344
,,70 years,305
,,71 years,332
,,72 years,327
,,73 years,338
,,74 years,268
,,75 years,279
,,76 years,241
,,77 years,252
,,78 years,266
,,79 years,240
,,80 years,220
,,81 years,188
,,82 years,173
,,83 years,151
,,84 years,112
,,85 years,97
,,86 years,102
,,87 years,78
,,88 years,74
,,89 years,64
,,90 years,67
,,91 years,34
,,92 years,32
,,93 years,35
,,94 years,23
,,95 years,12
,,96 years,13
,,97 years,15
,,98 years,8
,,99+ years,23
,Quarter - Bispebjerg,0 years,797
,,1 years,668
,,2 years,562
,,3 years,509
,,4 years,531
,,5 years,458
,,6 years,459
,,7 years,436
,,8 years,419
,,9 years,432
,,10 years,402
,,11 years,398
,,12 years,364
,,13 years,388
,,14 years,377
,,15 years,361
,,16 years,353
,,17 years,368
,,18 years,380
,,19 years,403
,,20 years,468
,,21 years,658
,,22 years,969
,,23 years,1254
,,24 years,1427
,,25 years,1572
,,26 years,1711
,,27 years,1772
,,28 years,1956
,,29 years,1881
,,30 years,1818
,,31 years,1757
,,32 years,1512
,,33 years,1521
,,34 years,1362
,,35 years,1215
,,36 years,1102
,,37 years,1069
,,38 years,953
,,39 years,881
,,40 years,823
,,41 years,698
,,42 years,689
,,43 years,663
,,44 years,617
,,45 years,591
,,46 years,605
,,47 years,524
,,48 years,539
,,49 years,535
,,50 years,558
,,51 years,570
,,52 years,532
,,53 years,543
,,54 years,469
