Befolkningen efter tid, statsborgerskab, alder, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;all genders;Male;Female
;;;Østerbro - Nordhavn;266;133;133
;;;Østerbro - Lyngbyvej Vest;192;105;87
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;227;119;108
;;;Østerbro - Fælled;308;172;136
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;577;310;267
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;667;328;339
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;608;311;297
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;454;229;225
;;;Nørrebro - Haraldsgade-kvarteret;355;191;164
;;;Vesterbro - Vest;530;256;274
;;;Vesterbro - Central;1012;535;477
;;;Vesterbro - Øst;265;144;121
;;;Vesterbro - Syd;89;33;56
;;;Kgs. Enghave - Bavnehøj;72;33;39
;;;Kgs. Enghave - Gl. Sydhavn;517;271;246
;;;Kgs. Enghave - Holmene;598;306;292
;;;Valby - Gl. Valby;479;253;226
;;;Valby - Syd;984;504;480
;;;Valby - Ålholm;519;269;250
;;;Valby - Valby Sydvest;641;329;312
;;;Valby - Vigerslev;326;170;156
;;;Vanløse - Jyllingevej Kvarter;769;408;361
;;;Vanløse - Jernbane Allé Kvarter;518;255;263
;;;Vanløse - Sallingvej Kvarter;427;229;198
;;;Vanløse - Grøndals Park Kvarter;293;143;150
;;;Brønshøj-Husum - Husum;930;462;468
;;;Brønshøj-Husum - Husum Nord;489;259;230
;;;Brønshøj-Husum - Tingbjerg;374;197;177
;;;Brønshøj-Husum - Brønshøj;652;321;331
;;;Brønshøj-Husum - Bellahøj;200;98;102
;;;Bispebjerg - Emdrup;200;111;89
;;;Bispebjerg- Ryparken-Lundehus;307;149;158
;;;Bispebjerg - Bispebjerg;281;144;137
;;;Bispebjerg - Utterslev;297;161;136
;;;Bispebjerg - Nordvest;844;438;406
;;;Amager Øst - Amagerbro Øst;612;285;327
;;;Amager Øst - Sundbyøster;479;252;227
;;;Amager Øst - Villakvartererne;886;489;397
;;;Amager Øst - Nordøstamager;391;176;215
;;;Amager Vest - Amagerbro Vest;212;114;98
;;;Amager Vest - Bryggen Syd;397;199;198
;;;Amager Vest - Faste Batteri;110;52;58
;;;Amager Vest - Gamle Bryggen;304;163;141
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);117;56;61
;;;Amager Vest - Kolonihavekvarteret;395;207;188
;;;Amager Vest - Sundbyvester;803;405;398
;;;Amager Vest - Sundholmsvejs kvarteret;380;201;179
;;;Amager Vest - Urbanplanen;218;99;119
;;;Amager Vest - Ørestad City;424;211;213
;;;Amager Vest - Ørestad Syd;747;371;376
;;;Kvarterer - Uden for inddeling;62;33;29
;;15-19 years;København i alt;29015;14708;14307
;;;Bydel - Indre By;2461;1224;1237
;;;Bydel - Østerbro;3726;1941;1785
;;;Bydel - Nørrebro;3016;1481;1535
;;;Bydel - Vesterbro/Kongens Enghave;3252;1612;1640
;;;Bydel - Valby;3016;1563;1453
;;;Bydel - Vanløse;2189;1120;1069
;;;Bydel - Brønshøj-Husum;2690;1364;1326
;;;Bydel - Bispebjerg;1865;962;903
;;;Bydel - Amager Øst;2654;1339;1315
;;;Bydel - Amager Vest;4098;2077;2021
;;;Bydel - Uden for inddeling;48;25;23
;;;Lokaludvalg - Indre By;1898;930;968
;;;Lokaludvalg - Christianshavn;563;294;269
;;;Lokaludvalg - Østerbro;3726;1941;1785
;;;Lokaludvalg - Nørrebro;3016;1481;1535
;;;Lokaludvalg - Vesterbro;2122;1037;1085
;;;Lokaludvalg - Kgs. Enghave;1130;575;555
;;;Lokaludvalg - Valby;3016;1563;1453
;;;Lokaludvalg - Vanløse;2189;1120;1069
;;;Lokaludvalg - Brønshøj-Husum;2690;1364;1326
;;;Lokaludvalg - Bispebjerg;1865;962;903
;;;Lokaludvalg - Amager Øst;2654;1339;1315
;;;Lokaludvalg - Amager Vest;4098;2077;2021
;;;Lokaludvalg - Uden for inddeling;48;25;23
;;;Indre By - Middelalderbyen;321;149;172
;;;Indre By - Metropolzonen;116;57;59
;;;Indre By - Nansensgade-kvarteret;330;164;166
;;;Indre By - Øster Farimagsgade-kvarteret;422;203;219
;;;Indre By - Østerport;237;110;127
;;;Indre By - Frederiksstaden;328;171;157
;;;Indre By - Gammelholm og Nyhavn;144;76;68
;;;Christianshavn - Neden Vandet;152;83;69
;;;Christianshavn - Oven Vandet;251;133;118
;;;Christianshavn - Holmen og Refshaleøen;160;78;82
;;;Østerbro - Nord/Komponistkvarteret;183;98;85
;;;Østerbro - Svanemøllen Syd/Øst;389;209;180
;;;Østerbro - Århusgade Nord;288;138;150
;;;Østerbro - Århusgade Syd;606;317;289
;;;Østerbro - Rosenvænget;577;303;274
;;;Østerbro - Ny Ryvang;184;104;80
;;;Østerbro - Nord;308;167;141
;;;Østerbro - Nordhavn;271;129;142
;;;Østerbro - Lyngbyvej Vest;207;105;102
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;299;148;151
;;;Østerbro - Fælled;414;223;191
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;656;315;341
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;841;421;420
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;582;267;315
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;538;273;265
;;;Nørrebro - Haraldsgade-kvarteret;399;205;194
;;;Vesterbro - Vest;567;283;284
;;;Vesterbro - Central;1062;519;543
;;;Vesterbro - Øst;350;161;189
;;;Vesterbro - Syd;143;74;69
;;;Kgs. Enghave - Bavnehøj;79;45;34
;;;Kgs. Enghave - Gl. Sydhavn;507;261;246
;;;Kgs. Enghave - Holmene;544;269;275
;;;Valby - Gl. Valby;514;250;264
;;;Valby - Syd;1044;546;498
;;;Valby - Ålholm;563;296;267
;;;Valby - Valby Sydvest;572;294;278
;;;Valby - Vigerslev;323;177;146
;;;Vanløse - Jyllingevej Kvarter;856;444;412
;;;Vanløse - Jernbane Allé Kvarter;593;308;285
;;;Vanløse - Sallingvej Kvarter;478;234;244
;;;Vanløse - Grøndals Park Kvarter;262;134;128
;;;Brønshøj-Husum - Husum;998;509;489
;;;Brønshøj-Husum - Husum Nord;467;252;215
;;;Brønshøj-Husum - Tingbjerg;323;149;174
;;;Brønshøj-Husum - Brønshøj;649;336;313
;;;Brønshøj-Husum - Bellahøj;253;118;135
;;;Bispebjerg - Emdrup;236;131;105
;;;Bispebjerg- Ryparken-Lundehus;311;153;158
;;;Bispebjerg - Bispebjerg;253;131;122
;;;Bispebjerg - Utterslev;260;140;120
;;;Bispebjerg - Nordvest;805;407;398
;;;Amager Øst - Amagerbro Øst;769;371;398
;;;Amager Øst - Sundbyøster;502;247;255
;;;Amager Øst - Villakvartererne;949;479;470
;;;Amager Øst - Nordøstamager;434;242;192
;;;Amager Vest - Amagerbro Vest;272;136;136
;;;Amager Vest - Bryggen Syd;282;149;133
;;;Amager Vest - Faste Batteri;150;79;71
;;;Amager Vest - Gamle Bryggen;351;183;168
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);128;56;72
;;;Amager Vest - Kolonihavekvarteret;368;181;187
;;;Amager Vest - Sundbyvester;779;401;378
;;;Amager Vest - Sundholmsvejs kvarteret;557;298;259
;;;Amager Vest - Urbanplanen;225;113;112
;;;Amager Vest - Ørestad City;410;202;208
;;;Amager Vest - Ørestad Syd;576;279;297
;;20-24 years;København i alt;63106;28772;34334
;;;Bydel - Indre By;6031;2677;3354
;;;Bydel - Østerbro;7398;3383;4015
;;;Bydel - Nørrebro;8294;3512;4782
;;;Bydel - Vesterbro/Kongens Enghave;7490;3416;4074
;;;Bydel - Valby;6837;3275;3562
;;;Bydel - Vanløse;3245;1572;1673
;;;Bydel - Brønshøj-Husum;3282;1639;1643
;;;Bydel - Bispebjerg;4776;2087;2689
;;;Bydel - Amager Øst;6262;2804;3458
;;;Bydel - Amager Vest;9185;4224;4961
;;;Bydel - Uden for inddeling;306;183;123
;;;Lokaludvalg - Indre By;4971;2193;2778
;;;Lokaludvalg - Christianshavn;1060;484;576
;;;Lokaludvalg - Østerbro;7398;3383;4015
;;;Lokaludvalg - Nørrebro;8294;3512;4782
;;;Lokaludvalg - Vesterbro;4090;1796;2294
;;;Lokaludvalg - Kgs. Enghave;3400;1620;1780
;;;Lokaludvalg - Valby;6837;3275;3562
;;;Lokaludvalg - Vanløse;3245;1572;1673
;;;Lokaludvalg - Brønshøj-Husum;3282;1639;1643
;;;Lokaludvalg - Bispebjerg;4776;2087;2689
;;;Lokaludvalg - Amager Øst;6262;2804;3458
;;;Lokaludvalg - Amager Vest;9185;4224;4961
