Befolkningen efter tid, arbejdsmarkedstilknytning, herkomst, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;All genders;Male;Female
;;;Østerbro - Lyngbyvej Vest;633;307;326
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;806;384;422
;;;Østerbro - Fælled;1025;485;540
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;1560;777;783
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;1968;930;1038
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;1572;748;824
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;2007;983;1024
;;;Nørrebro - Haraldsgade-kvarteret;1058;514;544
;;;Vesterbro - Vest;1444;690;754
;;;Vesterbro - Central;2251;1129;1122
;;;Vesterbro - Øst;1006;556;450
;;;Vesterbro - Syd;1265;689;576
;;;Kgs. Enghave - Bavnehøj;327;156;171
;;;Kgs. Enghave - Gl. Sydhavn;1078;513;565
;;;Kgs. Enghave - Holmene;3764;1907;1857
;;;Valby - Gl. Valby;1223;609;614
;;;Valby - Syd;2341;1134;1207
;;;Valby - Ålholm;701;363;338
;;;Valby - Valby Sydvest;1589;820;769
;;;Valby - Vigerslev;575;290;285
;;;Vanløse - Jyllingevej Kvarter;833;443;390
;;;Vanløse - Jernbane Allé Kvarter;1147;553;594
;;;Vanløse - Sallingvej Kvarter;790;402;388
;;;Vanløse - Grøndals Park Kvarter;318;165;153
;;;Brønshøj-Husum - Husum;1102;579;523
;;;Brønshøj-Husum - Husum Nord;684;352;332
;;;Brønshøj-Husum - Tingbjerg;347;153;194
;;;Brønshøj-Husum - Brønshøj;680;334;346
;;;Brønshøj-Husum - Bellahøj;191;86;105
;;;Bispebjerg - Emdrup;431;192;239
;;;Bispebjerg- Ryparken-Lundehus;672;318;354
;;;Bispebjerg - Bispebjerg;404;202;202
;;;Bispebjerg - Utterslev;468;225;243
;;;Bispebjerg - Nordvest;3986;2016;1970
;;;Amager Øst - Amagerbro Øst;2614;1212;1402
;;;Amager Øst - Sundbyøster;1159;541;618
;;;Amager Øst - Villakvartererne;1462;743;719
;;;Amager Øst - Nordøstamager;1976;970;1006
;;;Amager Vest - Amagerbro Vest;625;303;322
;;;Amager Vest - Bryggen Syd;766;380;386
;;;Amager Vest - Faste Batteri;1053;534;519
;;;Amager Vest - Gamle Bryggen;628;296;332
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);732;376;356
;;;Amager Vest - Kolonihavekvarteret;758;406;352
;;;Amager Vest - Sundbyvester;1094;558;536
;;;Amager Vest - Sundholmsvejs kvarteret;1331;601;730
;;;Amager Vest - Urbanplanen;300;141;159
;;;Amager Vest - Ørestad City;2515;1249;1266
;;;Amager Vest - Ørestad Syd;2760;1464;1296
;;Non-Western citizenships;København i alt;108803;53977;54826
;;;Bydel - Indre By;4254;1965;2289
;;;Bydel - Østerbro;8668;4104;4564
;;;Bydel - Nørrebro;13248;6434;6814
;;;Bydel - Vesterbro/Kongens Enghave;11627;5645;5982
;;;Bydel - Valby;12936;6474;6462
;;;Bydel - Vanløse;5046;2540;2506
;;;Bydel - Brønshøj-Husum;13786;7031;6755
;;;Bydel - Bispebjerg;13209;6868;6341
;;;Bydel - Amager Øst;8071;3825;4246
;;;Bydel - Amager Vest;16543;8062;8481
;;;Lokaludvalg - Indre By;3326;1535;1791
;;;Lokaludvalg - Christianshavn;928;430;498
;;;Lokaludvalg - Østerbro;8668;4104;4564
;;;Lokaludvalg - Nørrebro;13248;6434;6814
;;;Lokaludvalg - Vesterbro;5019;2411;2608
;;;Lokaludvalg - Kgs. Enghave;6608;3234;3374
;;;Lokaludvalg - Valby;12936;6474;6462
;;;Lokaludvalg - Vanløse;5046;2540;2506
;;;Lokaludvalg - Brønshøj-Husum;13786;7031;6755
;;;Lokaludvalg - Bispebjerg;13209;6868;6341
;;;Lokaludvalg - Amager Øst;8071;3825;4246
;;;Lokaludvalg - Amager Vest;16543;8062;8481
;;;Indre By - Middelalderbyen;662;334;328
;;;Indre By - Metropolzonen;269;142;127
;;;Indre By - Nansensgade-kvarteret;460;214;246
;;;Indre By - Øster Farimagsgade-kvarteret;546;240;306
;;;Indre By - Østerport;349;172;177
;;;Indre By - Frederiksstaden;807;333;474
;;;Indre By - Gammelholm og Nyhavn;233;100;133
;;;Christianshavn - Neden Vandet;301;148;153
;;;Christianshavn - Oven Vandet;416;191;225
;;;Christianshavn - Holmen og Refshaleøen;211;91;120
;;;Østerbro - Nord/Komponistkvarteret;201;98;103
;;;Østerbro - Svanemøllen Syd/Øst;1402;697;705
;;;Østerbro - Århusgade Nord;702;344;358
;;;Østerbro - Århusgade Syd;757;374;383
;;;Østerbro - Rosenvænget;750;351;399
;;;Østerbro - Ny Ryvang;972;493;479
;;;Østerbro - Nord;537;204;333
;;;Østerbro - Nordhavn;958;398;560
;;;Østerbro - Lyngbyvej Vest;971;479;492
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;701;326;375
;;;Østerbro - Fælled;717;340;377
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;2844;1431;1413
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;2377;1071;1306
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;2101;1030;1071
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;3184;1581;1603
;;;Nørrebro - Haraldsgade-kvarteret;2742;1321;1421
;;;Vesterbro - Vest;1551;695;856
;;;Vesterbro - Central;1926;934;992
;;;Vesterbro - Øst;807;408;399
;;;Vesterbro - Syd;735;374;361
;;;Kgs. Enghave - Bavnehøj;748;383;365
;;;Kgs. Enghave - Gl. Sydhavn;2863;1378;1485
;;;Kgs. Enghave - Holmene;2997;1473;1524
;;;Valby - Gl. Valby;1388;682;706
;;;Valby - Syd;4384;2142;2242
;;;Valby - Ålholm;1422;705;717
;;;Valby - Valby Sydvest;3815;1947;1868
;;;Valby - Vigerslev;1927;998;929
;;;Vanløse - Jyllingevej Kvarter;1461;766;695
;;;Vanløse - Jernbane Allé Kvarter;1907;967;940
;;;Vanløse - Sallingvej Kvarter;1142;526;616
;;;Vanløse - Grøndals Park Kvarter;536;281;255
;;;Brønshøj-Husum - Husum;3267;1734;1533
;;;Brønshøj-Husum - Husum Nord;4451;2264;2187
;;;Brønshøj-Husum - Tingbjerg;3369;1719;1650
;;;Brønshøj-Husum - Brønshøj;836;425;411
;;;Brønshøj-Husum - Bellahøj;1863;889;974
;;;Bispebjerg - Emdrup;729;396;333
;;;Bispebjerg- Ryparken-Lundehus;1787;882;905
;;;Bispebjerg - Bispebjerg;1451;794;657
;;;Bispebjerg - Utterslev;1841;939;902
;;;Bispebjerg - Nordvest;7401;3857;3544
;;;Amager Øst - Amagerbro Øst;3473;1659;1814
;;;Amager Øst - Sundbyøster;1447;701;746
;;;Amager Øst - Villakvartererne;1490;724;766
;;;Amager Øst - Nordøstamager;1661;741;920
;;;Amager Vest - Amagerbro Vest;494;247;247
;;;Amager Vest - Bryggen Syd;547;255;292
;;;Amager Vest - Faste Batteri;576;267;309
;;;Amager Vest - Gamle Bryggen;569;281;288
